date,jour,heure,fin,terrain,duree,prix,statut,vu_dispo,premier_vu,dernier_vu,releve
2026-06-02,Mardi,14:30,16:00,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:30,Terrain f6d07bcf,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:00,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,14:30,16:30,Terrain f98a1fd8,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,17:00,Terrain 1a78f473,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,16:30,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,17:00,Terrain 5b7001f3,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,17:00,Terrain c258125b,120,80.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,16:30,Terrain f6d07bcf,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:00,16:30,Terrain f98a1fd8,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:00,Terrain 1a78f473,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:30,Terrain 1a78f473,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:00,Terrain 5b7001f3,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:30,Terrain 5b7001f3,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:00,Terrain c258125b,90,60.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:30,Terrain c258125b,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:30,Terrain f6d07bcf,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,15:30,17:30,Terrain f98a1fd8,120,88.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,16:00,17:30,Terrain 1a78f473,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,16:00,17:30,Terrain 5b7001f3,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,16:00,17:30,Terrain c258125b,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,16:00,17:30,Terrain f6d07bcf,90,68.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
2026-06-02,Mardi,16:00,18:00,Terrain f6d07bcf,120,96.0,dispo,True,2026-05-31 18:29,2026-05-31 18:29,2026-05-31 18:29
