id,date,jour,heure,fin,lieu,cours,coach,capacite,presents,finie,statut,releve
47077052869960,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 14:19
47202331394400,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 00:06
47202331472360,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 00:06
47202331532940,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 00:06
47254574499960,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-05 22:33
47254574541360,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-05 22:33
47254574582580,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-05 22:33
47442683561120,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 22:47
47442683578380,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-06 22:47
47442683654800,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 22:47
69869765941780,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-02 23:33
69869766103340,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-02 23:33
69869766206800,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-02 23:33
69880304211840,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 18:47
69880305655880,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 18:47
69880305814460,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 18:47
69914961536600,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 16:12
69915399121280,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-06 16:12
69915399194060,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 16:12
69924623397340,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 09:25
69924623415080,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 09:25
69924623491320,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 09:25
69992680545280,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-05 20:29
69993156889120,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-05 20:29
69993163532420,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-05 20:29
70013488530400,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-02 10:54
70013488575160,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,0,0,False,disponible,2026-06-02 10:54
70013488609900,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-02 10:54
70050568747360,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 19:52
70050568795680,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 19:52
70050568847180,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 19:52
70153738500980,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-05 18:42
70153738518880,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-05 18:42
70153738564580,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-05 18:42
70184017391380,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 11:49
70184017422800,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 11:49
70184017465220,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 11:49
70269289861700,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 17:41
70269289930660,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 17:41
70269289991120,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 17:41
69914956276440,2026-06-07,Dimanche,12:00,12:45,Le 33 Foch,CARDIO-BOXING,JEREMI,0,0,False,disponible,2026-06-06 23:46
69915414632160,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,PILATES REFORMER (Niveau 2),LISA,12,12,False,complet,2026-06-06 23:46
69915407946220,2026-06-07,Dimanche,12:00,12:50,Le 33 Foch,MICRO LAGREE,JULIA,0,0,False,disponible,2026-06-06 23:46
46942365788060,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 13:12
47052598468620,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 21:47
47077052895960,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 14:19
47202331205840,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 00:06
47254574607200,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-05 22:33
47442683627440,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 22:47
69869766226600,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-02 23:33
69880305914300,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 18:47
69915399230480,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 16:12
69924623503200,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 09:25
69993165531460,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-05 20:29
70013488633300,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-02 10:54
70050568871880,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 19:52
70153738591980,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-05 18:42
70183932609000,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 11:49
70269289829840,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 17:41
69914956343060,2026-06-07,Dimanche,12:30,13:15,Le 33 Foch,BOOTCAMP & CYCLE,MATTEO,0,0,False,disponible,2026-06-06 23:46
46942366324340,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 13:12
47052598260100,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 21:47
47077052687420,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 14:19
47202331707060,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 00:06
47254574483620,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 22:33
47442683515960,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 22:47
69869766092760,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 23:33
69880303155400,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 18:47
69914961518720,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 16:12
69924623391360,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 09:25
69993164609400,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 20:29
70013488462620,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 10:54
70050568314260,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 19:52
70153738478460,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 18:42
70184017545940,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 11:49
70269290186400,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 17:41
69915407896600,2026-06-07,Dimanche,15:00,15:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 23:46
46942366537000,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 13:12
47052598209800,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 21:47
47077052604180,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 14:19
47202331685520,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 00:06
47254574476440,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 22:33
47442683501880,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 22:47
69869766083740,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 23:33
69880294952140,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 18:47
69914961485460,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 16:12
69924623385760,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-06 09:25
69993155146460,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,inconnu,2026-06-05 20:29
70013488450600,2026-06-07,Dimanche,16:00,16:50,Le 33 Foch,PILATES REFORMER,MORGANE,0,0,False,disponible,2026-06-02 10:54
